"Time","sum(kube_deployment_spec_replicas{namespace=""openfaas-fn""})"
2023-05-27 23:52:15,10
2023-05-27 23:52:30,10
2023-05-27 23:52:45,19
2023-05-27 23:53:00,19
2023-05-27 23:53:15,19
2023-05-27 23:53:30,19
2023-05-27 23:53:45,46
2023-05-27 23:54:00,46
2023-05-27 23:54:15,46
2023-05-27 23:54:30,46
2023-05-27 23:54:45,50
2023-05-27 23:55:00,50
2023-05-27 23:55:15,50
2023-05-27 23:55:30,50
2023-05-27 23:55:45,50
2023-05-27 23:56:00,50
2023-05-27 23:56:15,50
2023-05-27 23:56:30,50
2023-05-27 23:56:45,50
2023-05-27 23:57:00,50
2023-05-27 23:57:15,50
2023-05-27 23:57:30,50
2023-05-27 23:57:45,50
2023-05-27 23:58:00,50
2023-05-27 23:58:15,50
2023-05-27 23:58:30,50
2023-05-27 23:58:45,50
2023-05-27 23:59:00,50
2023-05-27 23:59:15,50
2023-05-27 23:59:30,50
2023-05-27 23:59:45,50
2023-05-28 00:00:00,50
2023-05-28 00:00:15,50
2023-05-28 00:00:30,50
2023-05-28 00:00:45,50
2023-05-28 00:01:00,50
2023-05-28 00:01:15,50
2023-05-28 00:01:30,50
2023-05-28 00:01:45,50
2023-05-28 00:02:00,50
2023-05-28 00:02:15,50
2023-05-28 00:02:30,50
2023-05-28 00:02:45,50
2023-05-28 00:03:00,50
2023-05-28 00:03:15,50
2023-05-28 00:03:30,50
2023-05-28 00:03:45,50
2023-05-28 00:04:00,50
2023-05-28 00:04:15,50
2023-05-28 00:04:30,50
2023-05-28 00:04:45,50
2023-05-28 00:05:00,50
2023-05-28 00:05:15,50
2023-05-28 00:05:30,50
2023-05-28 00:05:45,50
2023-05-28 00:06:00,50
2023-05-28 00:06:15,50
2023-05-28 00:06:30,50
2023-05-28 00:06:45,50
2023-05-28 00:07:00,50
2023-05-28 00:07:15,50
2023-05-28 00:07:30,50
2023-05-28 00:07:45,50
2023-05-28 00:08:00,50
2023-05-28 00:08:15,50
2023-05-28 00:08:30,50
2023-05-28 00:08:45,50
2023-05-28 00:09:00,50
2023-05-28 00:09:15,50
2023-05-28 00:09:30,50
2023-05-28 00:09:45,50
2023-05-28 00:10:00,50
2023-05-28 00:10:15,50
2023-05-28 00:10:30,50
2023-05-28 00:10:45,50
2023-05-28 00:11:00,50
2023-05-28 00:11:15,50
2023-05-28 00:11:30,50
2023-05-28 00:11:45,50
2023-05-28 00:12:00,50
2023-05-28 00:12:15,50

