"Time","sum(kube_deployment_spec_replicas{namespace=""openfaas-fn""})"
2023-05-28 00:43:15,10
2023-05-28 00:43:30,10
2023-05-28 00:43:45,46
2023-05-28 00:44:00,46
2023-05-28 00:44:15,46
2023-05-28 00:44:30,46
2023-05-28 00:44:45,50
2023-05-28 00:45:00,50
2023-05-28 00:45:15,50
2023-05-28 00:45:30,50
2023-05-28 00:45:45,50
2023-05-28 00:46:00,50
2023-05-28 00:46:15,50
2023-05-28 00:46:30,50
2023-05-28 00:46:45,50
2023-05-28 00:47:00,50
2023-05-28 00:47:15,50
2023-05-28 00:47:30,50
2023-05-28 00:47:45,50
2023-05-28 00:48:00,50
2023-05-28 00:48:15,50
2023-05-28 00:48:30,50
2023-05-28 00:48:45,50
2023-05-28 00:49:00,50
2023-05-28 00:49:15,50
2023-05-28 00:49:30,50
2023-05-28 00:49:45,50
2023-05-28 00:50:00,50
2023-05-28 00:50:15,50
2023-05-28 00:50:30,50
2023-05-28 00:50:45,50
2023-05-28 00:51:00,50
2023-05-28 00:51:15,50
2023-05-28 00:51:30,50
2023-05-28 00:51:45,50
2023-05-28 00:52:00,50
2023-05-28 00:52:15,50
2023-05-28 00:52:30,50
2023-05-28 00:52:45,50
2023-05-28 00:53:00,50
2023-05-28 00:53:15,50
2023-05-28 00:53:30,50
2023-05-28 00:53:45,50
2023-05-28 00:54:00,50
2023-05-28 00:54:15,50
2023-05-28 00:54:30,50
2023-05-28 00:54:45,50
2023-05-28 00:55:00,50
2023-05-28 00:55:15,50
2023-05-28 00:55:30,50
2023-05-28 00:55:45,50
2023-05-28 00:56:00,50
2023-05-28 00:56:15,50
2023-05-28 00:56:30,50
2023-05-28 00:56:45,50
2023-05-28 00:57:00,50
2023-05-28 00:57:15,50
2023-05-28 00:57:30,50
2023-05-28 00:57:45,50
2023-05-28 00:58:00,50
2023-05-28 00:58:15,50
2023-05-28 00:58:30,50
2023-05-28 00:58:45,50
2023-05-28 00:59:00,50
2023-05-28 00:59:15,50
2023-05-28 00:59:30,50
2023-05-28 00:59:45,50
2023-05-28 01:00:00,50
2023-05-28 01:00:15,50
2023-05-28 01:00:30,50
2023-05-28 01:00:45,50
2023-05-28 01:01:00,50
2023-05-28 01:01:15,50

